Time,theta_0,theta_1,theta_2
1745022366.9672458,-0.033422622829675674,-0.039324481040239334,-1.4191112518310547
1745022366.983249,-0.033639490604400635,-0.04028195142745972,-1.4175982475280762
1745022366.999701,-0.0338444747030735,-0.04129273071885109,-1.4160447120666504
1745022367.015525,-0.034010149538517,-0.042418062686920166,-1.4144477844238281
1745022367.0314415,-0.03412589058279991,-0.04371277987957001,-1.412809133529663
1745022367.0483074,-0.03419303894042969,-0.04520006477832794,-1.4111006259918213
1745022367.0643816,-0.03419884666800499,-0.046917907893657684,-1.4093623161315918
1745022367.0792124,-0.03413659334182739,-0.04884888976812363,-1.407560110092163
1745022367.097546,-0.034019626677036285,-0.05099701136350632,-1.4057101011276245
1745022367.1104527,-0.03385036066174507,-0.05336504057049751,-1.403786540031433
1745022367.1272833,-0.033631835132837296,-0.05592498555779457,-1.401825189590454
1745022367.14233,-0.03337637707591057,-0.05861862003803253,-1.3998316526412964
1745022367.1591654,-0.033092230558395386,-0.06139890477061272,-1.3978307247161865
1745022367.1759589,-0.032781023532152176,-0.06424722820520401,-1.395821213722229
1745022367.1911025,-0.032445695251226425,-0.06716429442167282,-1.3937931060791016
1745022367.2092092,-0.03210113197565079,-0.0700581818819046,-1.3917760848999023
1745022367.2240784,-0.031762681901454926,-0.07285963743925095,-1.3897833824157715
1745022367.2383084,-0.03144223988056183,-0.07556106150150299,-1.387833833694458
1745022367.2553594,-0.031127549707889557,-0.07814253121614456,-1.385927438735962
1745022367.2705896,-0.03082929737865925,-0.08057083189487457,-1.384063720703125
1745022367.2874725,-0.03056502342224121,-0.08282813429832458,-1.3822580575942993
1745022367.3068461,-0.030318837612867355,-0.08495654910802841,-1.3805018663406372
1745022367.3182354,-0.0300839152187109,-0.08703453838825226,-1.3787665367126465
1745022367.335455,-0.029839767143130302,-0.08907585591077805,-1.3770411014556885
1745022367.3513153,-0.029620930552482605,-0.09106801450252533,-1.3753550052642822
1745022367.367951,-0.02937762252986431,-0.09305118024349213,-1.3736932277679443
1745022367.3857164,-0.029118318110704422,-0.09507005661725998,-1.3720574378967285
1745022367.4037511,-0.02884017676115036,-0.09707401692867279,-1.3704389333724976
1745022367.415751,-0.028525635600090027,-0.09911640733480453,-1.3688396215438843
1745022367.4330022,-0.028188161551952362,-0.1011364758014679,-1.3672583103179932
1745022367.450529,-0.02782399393618107,-0.10309983789920807,-1.3657071590423584
1745022367.465664,-0.02751137688755989,-0.1049656867980957,-1.3641462326049805
1745022367.478334,-0.02722250670194626,-0.10671816021203995,-1.3625802993774414
1745022367.498888,-0.026959482580423355,-0.10832039266824722,-1.3610354661941528
1745022367.510345,-0.026675216853618622,-0.10980839282274246,-1.359537959098816
1745022367.5262747,-0.026399539783596992,-0.11118944734334946,-1.3581668138504028
1745022367.5444682,-0.026066694408655167,-0.11254951357841492,-1.3568832874298096
1745022367.5618768,-0.025729868561029434,-0.11395183205604553,-1.3556346893310547
1745022367.5789294,-0.025406351312994957,-0.11540721356868744,-1.3543980121612549
1745022367.5930574,-0.025080205872654915,-0.11689024418592453,-1.3531867265701294
1745022367.610241,-0.024795306846499443,-0.11827470362186432,-1.352033019065857
1745022367.6266143,-0.024519115686416626,-0.11960610002279282,-1.3509166240692139
1745022367.6414547,-0.024240750819444656,-0.12084084749221802,-1.3498364686965942
1745022367.658541,-0.023982638493180275,-0.1219659075140953,-1.348790168762207
1745022367.6725092,-0.023780884221196175,-0.12299533933401108,-1.3477532863616943
1745022367.687333,-0.023617859929800034,-0.1239166334271431,-1.3467257022857666
1745022367.7045188,-0.023525189608335495,-0.1247539222240448,-1.3456783294677734
1745022367.7209895,-0.02351883053779602,-0.12557712197303772,-1.344589352607727
1745022367.7370124,-0.023566950112581253,-0.1263657659292221,-1.343459963798523
1745022367.7533252,-0.02366650104522705,-0.1271473914384842,-1.3423084020614624
1745022367.766294,-0.023783031851053238,-0.12795288860797882,-1.3411182165145874
1745022367.785672,-0.02391755022108555,-0.12888070940971375,-1.3398866653442383
1745022367.7983928,-0.02406034618616104,-0.12990793585777283,-1.3385952711105347
1745022367.8152943,-0.024199828505516052,-0.13100235164165497,-1.3372706174850464
1745022367.831015,-0.024334026500582695,-0.13213831186294556,-1.3359439373016357
1745022367.8477154,-0.024447433650493622,-0.133331298828125,-1.334602952003479
1745022367.865951,-0.024542855098843575,-0.13463334739208221,-1.3332409858703613
1745022367.8820536,-0.0246720127761364,-0.13600730895996094,-1.3318381309509277
1745022367.8956702,-0.024795547127723694,-0.1374325454235077,-1.3304145336151123
1745022367.912414,-0.02493405155837536,-0.13892242312431335,-1.3289649486541748
1745022367.92879,-0.025082552805542946,-0.14048708975315094,-1.3274939060211182
1745022367.9454203,-0.02523978240787983,-0.14208149909973145,-1.3259971141815186
1745022367.9582837,-0.02539806254208088,-0.1436532586812973,-1.3244965076446533
1745022367.9751992,-0.025528637692332268,-0.14513477683067322,-1.3229897022247314
1745022367.992672,-0.025647614151239395,-0.1465567797422409,-1.3215315341949463
1745022368.006369,-0.02575022168457508,-0.14790207147598267,-1.3200979232788086
1745022368.0230255,-0.025831198319792747,-0.14914236962795258,-1.3187000751495361
1745022368.040915,-0.025882121175527573,-0.1502918154001236,-1.3173401355743408
1745022368.05797,-0.025909680873155594,-0.1513586789369583,-1.3160209655761719
1745022368.073085,-0.025931933894753456,-0.15233337879180908,-1.3147233724594116
