Time,dtheta.x,dtheta.y,dtheta.z,dvel.x,dvel.y,dvel.z,dt
1742949780.2947247,-0.00014858233043923974,-5.914229404879734e-05,-0.0002781971707008779,-0.005402306094765663,0.0028259851969778538,-0.15608620643615723,0.01600000075995922
1742949780.3110871,-0.00016749268979765475,-5.2226958359824494e-05,-0.00028727183234877884,-0.005504888016730547,0.0028911030385643244,-0.15612025558948517,0.01600000075995922
1742949780.3270912,-0.00017213400860782713,-4.9108934035757557e-05,-0.00029451469890773296,-0.005426117684692144,0.002911649877205491,-0.1561271995306015,0.01600000075995922
1742949780.3437917,-0.00018565283971838653,-4.6492339606629685e-05,-0.00028730477788485587,-0.0054024294950068,0.002858263673260808,-0.15605847537517548,0.01600000075995922
1742949780.3595264,-0.0001754937693476677,-4.95621825393755e-05,-0.0002925387816503644,-0.0054936655797064304,0.002996675670146942,-0.15613144636154175,0.01600000075995922
1742949780.3748178,-0.0002027660666499287,-5.427776704891585e-05,-0.000284528243355453,-0.005481598898768425,0.002981877885758877,-0.15613649785518646,0.01600000075995922
1742949780.391682,-0.00020074870553798974,-4.8367790441261604e-05,-0.0002962173311971128,-0.005487114191055298,0.0030137391295284033,-0.15609538555145264,0.01600000075995922
1742949780.4075031,-0.00018753767653834075,-3.7819929275428876e-05,-0.00029217047267593443,-0.0054460251703858376,0.0031086038798093796,-0.15618468821048737,0.01600000075995922
1742949780.4239323,-0.00021314733021426946,-4.280162465875037e-05,-0.0002892660559155047,-0.005390414036810398,0.0030989910010248423,-0.15607158839702606,0.01600000075995922
1742949780.4396253,-0.00020797479373868555,-1.8849321349989623e-05,-0.0003025035257451236,-0.005469294730573893,0.0030348263680934906,-0.15621615946292877,0.01600000075995922
1742949780.456435,-0.00021094644034747034,-2.737826252996456e-05,-0.0002981382131110877,-0.005459369160234928,0.0030636927112936974,-0.15614846348762512,0.01600000075995922
