Time,theta_0,theta_1,theta_2
1742949917.9412708,-0.042845167219638824,-0.025928089395165443,0.6639094352722168
1742949917.9571126,-0.04272058233618736,-0.025979885831475258,0.6639595031738281
1742949917.973521,-0.042592085897922516,-0.026022594422101974,0.6640241146087646
1742949917.9899628,-0.042472828179597855,-0.026081491261720657,0.6640869379043579
1742949918.0051591,-0.042347732931375504,-0.02614235132932663,0.6641440391540527
1742949918.0214467,-0.042214181274175644,-0.026226354762911797,0.6641988754272461
1742949918.0372066,-0.04208844527602196,-0.026299189776182175,0.6642491817474365
1742949918.0534236,-0.04194355756044388,-0.026382122188806534,0.6642947793006897
1742949918.0703075,-0.041807327419519424,-0.026475781574845314,0.6643515825271606
1742949918.0865085,-0.04162222519516945,-0.026583997532725334,0.6644119024276733
1742949918.101408,-0.041464682668447495,-0.02667080983519554,0.6644694805145264
1742949918.1172287,-0.041322074830532074,-0.026734869927167892,0.6645196080207825
1742949918.1350772,-0.04117349907755852,-0.026813162490725517,0.6645625829696655
1742949918.1491969,-0.041026193648576736,-0.02690461091697216,0.6646172404289246
1742949918.166225,-0.0408908948302269,-0.026986151933670044,0.6646708250045776
1742949918.1822345,-0.04074607416987419,-0.027073943987488747,0.6647218465805054
1742949918.1982424,-0.04060619696974754,-0.027144689112901688,0.6647744178771973
1742949918.2153761,-0.040471456944942474,-0.027226202189922333,0.6648135185241699
1742949918.2293336,-0.04034668579697609,-0.02730911783874035,0.6648430824279785
1742949918.2453904,-0.04022891819477081,-0.027392929419875145,0.664879322052002
1742949918.2615685,-0.04007214307785034,-0.02747734822332859,0.6649237275123596
1742949918.277347,-0.03991927206516266,-0.027567215263843536,0.6649830937385559
1742949918.293587,-0.039777591824531555,-0.027651889249682426,0.6650422215461731
1742949918.3094187,-0.039633430540561676,-0.027730245143175125,0.6650981307029724
1742949918.3263674,-0.03949621319770813,-0.027801450341939926,0.6651341915130615
1742949918.3416443,-0.039384230971336365,-0.0278739295899868,0.665172278881073
1742949918.357348,-0.03925400227308273,-0.02795809879899025,0.6652085781097412
1742949918.3737106,-0.03913768008351326,-0.028024716302752495,0.6652584671974182
1742949918.3909237,-0.03900109976530075,-0.02810146100819111,0.6653003096580505
