Time,theta_0,theta_1,theta_2
1745022312.4413598,-0.013212591409683228,-0.026911962777376175,-0.8783903121948242
1745022312.4561713,-0.013191492296755314,-0.026899347081780434,-0.878707766532898
1745022312.472117,-0.013167878612875938,-0.026901472359895706,-0.879054605960846
1745022312.4862852,-0.013147610239684582,-0.02690090984106064,-0.8793293833732605
1745022312.5051372,-0.013135384768247604,-0.02690688893198967,-0.8796124458312988
1745022312.5193448,-0.013115964829921722,-0.02690068818628788,-0.8799055218696594
1745022312.5354018,-0.01309807226061821,-0.026891471818089485,-0.8802208304405212
1745022312.551319,-0.013088313862681389,-0.02688746154308319,-0.8804936408996582
1745022312.566418,-0.013076945208013058,-0.02686816081404686,-0.8808245658874512
1745022312.583231,-0.013070468790829182,-0.0268483217805624,-0.8811347484588623
1745022312.5993702,-0.0130630973726511,-0.02682359144091606,-0.8814741373062134
1745022312.616128,-0.013075158931314945,-0.026799779385328293,-0.8818221092224121
1745022312.6305895,-0.013090341351926327,-0.026775870472192764,-0.8821262121200562
1745022312.6487048,-0.013103816658258438,-0.026760417968034744,-0.8824275732040405
1745022312.665411,-0.013125080615282059,-0.0267467200756073,-0.8827259540557861
1745022312.6789045,-0.01312652975320816,-0.02674534171819687,-0.8830838203430176
1745022312.695407,-0.013129291124641895,-0.02672695741057396,-0.8833961486816406
1745022312.711208,-0.013142083771526814,-0.026714766398072243,-0.8837114572525024
1745022312.7282307,-0.013138084672391415,-0.02666810154914856,-0.8840043544769287
1745022312.7433062,-0.01313216146081686,-0.026630394160747528,-0.8842947483062744
1745022312.7603574,-0.013152223080396652,-0.026591235771775246,-0.8846385478973389
1745022312.7774253,-0.013176952488720417,-0.026558879762887955,-0.8849756717681885
1745022312.790304,-0.013201474212110043,-0.026538491249084473,-0.8852901458740234
1745022312.8072534,-0.013234768062829971,-0.026505528017878532,-0.8856065273284912
1745022312.8223698,-0.013248711824417114,-0.02647075057029724,-0.8859491944313049
1745022312.840074,-0.013247832655906677,-0.026413362473249435,-0.8862763047218323
1745022312.8574286,-0.01325937733054161,-0.026366038247942924,-0.8866235017776489
1745022312.8704116,-0.013254791498184204,-0.02630573883652687,-0.886921763420105
1745022312.8863103,-0.013274799101054668,-0.026270627975463867,-0.8872808218002319
1745022312.9024005,-0.013309546746313572,-0.026213031262159348,-0.8876241445541382
1745022312.9185581,-0.013308481313288212,-0.026170028373599052,-0.8879351019859314
1745022312.937339,-0.013306661508977413,-0.026139404624700546,-0.8882420063018799
1745022312.952251,-0.013315726071596146,-0.026094872504472733,-0.8885205388069153
1745022312.9670904,-0.013331238180398941,-0.026043029502034187,-0.8888674974441528
1745022312.9835176,-0.013339652679860592,-0.026006042957305908,-0.8892211318016052
1745022313.0058463,-0.013366851024329662,-0.0259723924100399,-0.8895828127861023
1745022313.0153039,-0.01340251974761486,-0.025927845388650894,-0.8899641036987305
1745022313.0332193,-0.013421719893813133,-0.025897741317749023,-0.8902583122253418
1745022313.048371,-0.013436214067041874,-0.02587294578552246,-0.8905613422393799
1745022313.0659761,-0.013460946269333363,-0.02583717368543148,-0.8908644914627075
1745022313.080294,-0.013478221371769905,-0.025811810046434402,-0.8911648988723755
1745022313.0962262,-0.013528203591704369,-0.02580007165670395,-0.8915174007415771
1745022313.1126966,-0.013572009280323982,-0.025767244398593903,-0.8917652368545532
1745022313.1264606,-0.013587635941803455,-0.02575467713177204,-0.892045259475708
1745022313.1448739,-0.013622438535094261,-0.025740981101989746,-0.8923258185386658
1745022313.1605754,-0.013655544258654118,-0.025737298652529716,-0.8926205039024353
1745022313.1773214,-0.013670152053236961,-0.025721626356244087,-0.8929381966590881
1745022313.1924615,-0.013699080795049667,-0.025712506845593452,-0.8932527899742126
1745022313.206407,-0.013728896155953407,-0.02569865807890892,-0.8935408592224121
1745022313.2249582,-0.013757728971540928,-0.025702321901917458,-0.8938376307487488
1745022313.2402894,-0.013792921788990498,-0.025692664086818695,-0.8941694498062134
