Time,theta_0,theta_1,theta_2
1742950080.2121146,-0.04222959652543068,-0.015160473994910717,0.6339764595031738
1742950080.2278907,-0.041837695986032486,-0.015225955285131931,0.6339895129203796
1742950080.2449746,-0.041455790400505066,-0.015281441621482372,0.6340170502662659
1742950080.2612567,-0.04111388325691223,-0.015377495437860489,0.6340488195419312
1742950080.276142,-0.04076673835515976,-0.01545755472034216,0.6340919733047485
1742950080.2924776,-0.04043100029230118,-0.015549863688647747,0.6341336369514465
1742950080.3080454,-0.040085531771183014,-0.015620122663676739,0.6341962814331055
1742950080.323991,-0.03973980247974396,-0.015675658360123634,0.6342599391937256
1742950080.3410938,-0.03940791264176369,-0.01572909764945507,0.6343335509300232
1742950080.3570745,-0.039032649248838425,-0.015784379094839096,0.6344335675239563
1742950080.3722084,-0.03856702521443367,-0.015848396345973015,0.6345250606536865
1742950080.388201,-0.038044001907110214,-0.01592879183590412,0.6346196532249451
1742950080.4051604,-0.03746149688959122,-0.016038578003644943,0.6347051858901978
1742950080.4206293,-0.03677992522716522,-0.016153544187545776,0.6347888112068176
1742950080.4364226,-0.03597087040543556,-0.016246546059846878,0.6348698139190674
1742950080.452877,-0.03509734198451042,-0.01635780557990074,0.634948194026947
1742950080.4681191,-0.03417639806866646,-0.016459820792078972,0.6350151300430298
1742950080.4854822,-0.033175840973854065,-0.01655304804444313,0.6350738406181335
1742950080.5017595,-0.032083168625831604,-0.016623925417661667,0.6351273059844971
1742950080.5161343,-0.030991509556770325,-0.016705049201846123,0.6351640224456787
1742950080.5325341,-0.029879866167902946,-0.016792023554444313,0.6351971626281738
1742950080.5484045,-0.028727000579237938,-0.01689089462161064,0.635225236415863
1742950080.5652018,-0.027552464976906776,-0.016987979412078857,0.6352407336235046
1742950080.5812242,-0.026371540501713753,-0.01708182878792286,0.6352300643920898
1742950080.5963225,-0.02517213299870491,-0.017187919467687607,0.6352311968803406
1742950080.6124523,-0.02397838421165943,-0.0173228457570076,0.6352201104164124
