Time,data
1742949917.9497166,0.8857313990592957
1742949918.0003657,0.8734579682350159
1742949918.0487127,0.8755035400390625
1742949918.0975983,0.8775491118431091
1742949918.1505892,0.8765263557434082
1742949918.2009692,0.8744807839393616
1742949918.2492397,0.8714123964309692
1742949918.298245,0.8693668246269226
1742949918.3474476,0.8755035400390625
1742949918.4003892,0.883685827255249
1742949918.4498148,0.8765263557434082
1742949918.4999347,0.866298496723175
1742949918.548492,0.883685827255249
1742949918.6011233,0.8734579682350159
1742949918.6504073,0.8806174993515015
1742949918.6999345,0.8693668246269226
1742949918.7488897,0.8775491118431091
1742949918.8018115,0.8714123964309692
1742949918.8512003,0.8877769708633423
1742949918.9012928,0.8724352121353149
1742949918.9499018,0.8908452987670898
1742949919.0025423,0.8724352121353149
1742949919.051961,0.8806174993515015
1742949919.100948,0.8744807839393616
1742949919.1514795,0.8775491118431091
1742949919.2002409,0.8734579682350159
1742949919.249338,0.8806174993515015
1742949919.2978272,0.8734579682350159
1742949919.3507001,0.8775491118431091
1742949919.4015713,0.8785719275474548
1742949919.4499462,0.8632301092147827
1742949919.499214,0.8857313990592957
1742949919.5516975,0.8795946836471558
1742949919.6015966,0.8652756810188293
1742949919.6499386,0.8806174993515015
1742949919.7028234,0.8703896403312683
1742949919.7521517,0.866298496723175
1742949919.802403,0.8795946836471558
1742949919.8509007,0.8734579682350159
1742949919.9035435,0.883685827255249
1742949919.953047,0.866298496723175
1742949920.003042,0.8806174993515015
1742949920.0517006,0.8611845970153809
1742949920.1041415,0.8795946836471558
1742949920.1536474,0.8857313990592957
1742949920.2028863,0.8642529249191284
1742949920.2527196,0.8703896403312683
1742949920.3048165,0.8755035400390625
1742949920.354258,0.8744807839393616
1742949920.4035773,0.8734579682350159
1742949920.453682,0.8734579682350159
1742949920.5055819,0.8744807839393616
1742949920.5548875,0.8806174993515015
1742949920.603907,0.8734579682350159
1742949920.6540203,0.8652756810188293
1742949920.7022042,0.8683440685272217
1742949920.7516081,0.8652756810188293
1742949920.8017347,0.8887997269630432
1742949920.8502948,0.8724352121353149
1742949920.9030516,0.8775491118431091
1742949920.9540174,0.8755035400390625
